2026-05-05 21:51:47.306491,buraco,grande,"(0, 65)"
2026-05-05 21:51:47.306559,buraco,medio,"(105, 22)"
2026-05-05 21:51:47.306592,buraco,medio,"(48, 13)"
2026-05-05 21:51:47.306619,buraco,medio,"(0, 9)"
2026-05-05 21:51:47.306647,buraco,grande,"(202, 0)"
2026-05-06 17:05:58.909889,buraco,grande,"(0, 65)"
2026-05-06 17:05:58.909979,buraco,medio,"(105, 22)"
2026-05-06 17:05:58.910019,buraco,medio,"(48, 13)"
2026-05-06 17:05:58.910048,buraco,medio,"(0, 9)"
2026-05-06 17:05:58.910078,buraco,grande,"(202, 0)"
2026-05-06 17:38:10.073444,buraco,medio,"(37, 0)"
2026-05-06 17:38:10.151491,buraco,medio,"(34, 0)"
2026-05-06 17:38:10.200130,buraco,medio,"(33, 0)"
2026-05-06 17:38:10.269136,buraco,medio,"(33, 0)"
2026-05-06 17:38:10.336924,buraco,medio,"(33, 0)"
2026-05-06 17:38:10.402495,buraco,medio,"(34, 0)"
2026-05-06 17:38:10.469467,buraco,medio,"(36, 0)"
2026-05-06 17:38:10.537841,buraco,medio,"(33, 0)"
2026-05-06 17:38:10.605726,buraco,medio,"(36, 0)"
2026-05-06 17:38:10.670476,buraco,medio,"(33, 0)"
2026-05-06 17:38:10.737845,buraco,medio,"(34, 0)"
2026-05-06 17:38:10.806121,buraco,medio,"(37, 0)"
2026-05-06 17:38:10.869829,buraco,medio,"(36, 0)"
2026-05-06 17:38:10.938470,buraco,medio,"(33, 0)"
2026-05-06 17:38:11.006550,buraco,medio,"(36, 0)"
2026-05-06 17:38:11.070284,buraco,medio,"(36, 0)"
2026-05-06 17:38:11.138624,buraco,medio,"(33, 0)"
2026-05-06 17:38:11.206310,buraco,grande,"(37, 0)"
2026-05-06 17:38:11.274218,buraco,grande,"(33, 0)"
2026-05-06 17:38:11.338222,buraco,medio,"(37, 0)"
2026-05-06 17:38:11.406631,buraco,medio,"(34, 0)"
2026-05-06 17:38:11.473707,buraco,medio,"(36, 0)"
2026-05-06 17:38:11.538350,buraco,grande,"(36, 0)"
2026-05-06 17:38:11.606381,buraco,medio,"(33, 0)"
2026-05-06 17:38:11.673754,buraco,medio,"(33, 0)"
2026-05-06 17:38:11.738136,buraco,medio,"(37, 0)"
2026-05-06 17:38:11.805750,buraco,medio,"(33, 0)"
2026-05-06 17:38:11.874114,buraco,medio,"(33, 0)"
2026-05-06 17:38:11.937526,buraco,medio,"(36, 0)"
2026-05-06 17:38:12.006271,buraco,medio,"(34, 0)"
2026-05-06 17:38:12.074085,buraco,medio,"(37, 0)"
2026-05-06 17:38:12.142022,buraco,medio,"(33, 0)"
2026-05-06 17:38:12.205666,buraco,medio,"(36, 0)"
2026-05-06 17:38:12.274265,buraco,medio,"(33, 0)"
2026-05-06 17:38:12.341920,buraco,grande,"(36, 0)"
2026-05-06 17:38:12.405943,buraco,medio,"(36, 0)"
2026-05-06 17:38:12.473432,buraco,medio,"(37, 0)"
2026-05-06 17:38:12.541926,buraco,medio,"(36, 0)"
2026-05-06 17:38:12.606477,buraco,medio,"(33, 0)"
2026-05-06 17:38:12.674383,buraco,medio,"(33, 0)"
2026-05-06 17:38:12.742049,buraco,medio,"(37, 0)"
2026-05-06 17:38:12.810526,buraco,medio,"(36, 0)"
2026-05-06 17:38:12.874194,buraco,medio,"(36, 0)"
2026-05-06 17:38:12.941821,buraco,medio,"(34, 0)"
2026-05-06 17:38:13.009385,buraco,medio,"(36, 0)"
2026-05-06 17:38:13.073996,buraco,medio,"(35, 0)"
2026-05-06 17:38:13.141438,buraco,medio,"(34, 0)"
2026-05-06 17:38:13.209844,buraco,medio,"(36, 0)"
2026-05-06 17:38:13.273114,buraco,medio,"(37, 0)"
2026-05-06 17:38:13.342224,buraco,medio,"(34, 0)"
2026-05-06 17:38:13.409892,buraco,medio,"(37, 0)"
2026-05-06 17:38:13.473912,buraco,medio,"(37, 0)"
2026-05-06 17:38:13.541596,buraco,medio,"(36, 0)"
2026-05-06 17:38:13.610228,buraco,medio,"(33, 0)"
2026-05-06 17:38:13.677669,buraco,medio,"(37, 0)"
2026-05-06 17:38:13.741810,buraco,medio,"(326, 231)"
2026-05-06 17:38:13.741922,buraco,medio,"(37, 0)"
2026-05-06 17:38:13.809112,buraco,medio,"(330, 192)"
2026-05-06 17:38:13.809216,buraco,grande,"(34, 0)"
2026-05-06 17:38:13.877230,buraco,medio,"(36, 0)"
2026-05-06 17:38:13.941913,buraco,medio,"(34, 0)"
2026-05-06 17:38:14.009375,buraco,grande,"(33, 0)"
2026-05-06 17:38:14.078378,buraco,medio,"(36, 0)"
2026-05-06 17:38:14.142033,buraco,medio,"(390, 198)"
2026-05-06 17:38:14.142146,buraco,medio,"(33, 0)"
2026-05-06 17:38:14.210850,buraco,medio,"(33, 0)"
2026-05-06 17:38:14.278496,buraco,medio,"(33, 0)"
2026-05-06 17:38:14.346365,buraco,medio,"(33, 0)"
2026-05-06 17:38:14.410439,buraco,grande,"(33, 0)"
2026-05-06 17:38:14.478594,buraco,medio,"(33, 0)"
2026-05-06 17:38:14.546561,buraco,grande,"(33, 0)"
2026-05-06 17:38:14.610602,buraco,medio,"(36, 0)"
2026-05-06 17:38:14.678499,buraco,medio,"(36, 0)"
2026-05-06 17:38:14.745874,buraco,medio,"(34, 0)"
2026-05-06 17:38:14.810368,buraco,grande,"(36, 0)"
2026-05-06 17:38:14.877821,buraco,medio,"(33, 0)"
2026-05-06 17:38:14.946638,buraco,medio,"(333, 233)"
2026-05-06 17:38:14.946758,buraco,medio,"(33, 0)"
2026-05-06 17:38:15.009440,buraco,grande,"(37, 0)"
2026-05-06 17:38:15.077529,buraco,medio,"(329, 232)"
2026-05-06 17:38:15.077632,buraco,medio,"(33, 0)"
2026-05-06 17:38:15.146245,buraco,medio,"(346, 233)"
2026-05-06 17:38:15.146352,buraco,medio,"(36, 0)"
2026-05-06 17:38:15.214463,buraco,medio,"(36, 0)"
2026-05-06 17:38:15.278197,buraco,medio,"(36, 0)"
2026-05-06 17:38:15.346143,buraco,medio,"(36, 0)"
2026-05-06 17:38:15.413688,buraco,medio,"(36, 0)"
2026-05-06 17:38:15.477945,buraco,medio,"(36, 0)"
2026-05-06 17:38:15.545408,buraco,medio,"(33, 0)"
2026-05-06 17:38:15.614004,buraco,medio,"(34, 0)"
2026-05-06 17:38:15.677700,buraco,medio,"(32, 0)"
2026-05-06 17:38:15.745979,buraco,medio,"(36, 0)"
2026-05-06 17:38:15.813534,buraco,medio,"(36, 0)"
2026-05-06 17:38:15.882333,buraco,medio,"(33, 0)"
2026-05-06 17:38:15.945943,buraco,medio,"(37, 0)"
2026-05-06 17:38:16.014117,buraco,medio,"(37, 0)"
2026-05-06 17:38:16.081799,buraco,medio,"(33, 0)"
2026-05-06 17:38:16.146032,buraco,medio,"(33, 0)"
2026-05-06 17:38:16.213721,buraco,medio,"(37, 0)"
2026-05-06 17:38:16.282007,buraco,medio,"(37, 0)"
2026-05-06 17:38:16.345381,buraco,medio,"(34, 0)"
2026-05-06 17:38:16.414609,buraco,medio,"(37, 0)"
2026-05-06 17:38:16.481724,buraco,medio,"(33, 0)"
2026-05-06 17:38:16.546628,buraco,medio,"(37, 0)"
2026-05-06 17:38:16.614145,buraco,medio,"(33, 0)"
2026-05-06 17:38:16.681900,buraco,medio,"(34, 0)"
2026-05-06 17:38:16.749842,buraco,medio,"(37, 0)"
2026-05-06 17:38:16.814197,buraco,medio,"(37, 0)"
2026-05-06 17:38:16.882080,buraco,medio,"(33, 0)"
2026-05-06 17:38:16.949771,buraco,medio,"(33, 0)"
2026-05-06 17:38:17.013954,buraco,medio,"(37, 0)"
2026-05-06 17:38:17.082397,buraco,medio,"(33, 0)"
2026-05-06 17:38:17.150389,buraco,medio,"(34, 0)"
2026-05-06 17:38:17.214493,buraco,medio,"(35, 0)"
2026-05-06 17:38:17.282813,buraco,medio,"(33, 0)"
2026-05-06 17:38:17.351178,buraco,medio,"(33, 0)"
2026-05-06 17:38:17.418499,buraco,medio,"(33, 0)"
2026-05-06 17:38:17.482402,buraco,medio,"(33, 0)"
2026-05-06 17:38:17.550064,buraco,medio,"(34, 0)"
2026-05-06 17:38:17.618180,buraco,medio,"(36, 0)"
2026-05-06 17:38:17.682331,buraco,medio,"(34, 0)"
2026-05-06 17:38:17.750242,buraco,medio,"(33, 0)"
2026-05-06 17:38:17.818324,buraco,medio,"(37, 0)"
2026-05-06 17:38:17.882207,buraco,medio,"(37, 0)"
2026-05-06 17:38:17.950942,buraco,grande,"(34, 0)"
2026-05-06 17:38:18.018365,buraco,medio,"(33, 0)"
2026-05-06 17:38:18.085820,buraco,medio,"(33, 0)"
2026-05-06 17:38:18.150341,buraco,medio,"(37, 0)"
2026-05-06 17:38:18.218113,buraco,medio,"(36, 0)"
2026-05-06 17:38:18.286933,buraco,medio,"(37, 0)"
2026-05-06 17:38:18.350692,buraco,medio,"(33, 0)"
2026-05-06 17:38:18.418227,buraco,medio,"(36, 0)"
2026-05-06 17:38:18.485702,buraco,medio,"(37, 0)"
2026-05-06 17:38:18.549783,buraco,medio,"(267, 191)"
2026-05-06 17:38:18.549892,buraco,medio,"(36, 0)"
2026-05-06 17:38:18.617817,buraco,medio,"(33, 0)"
2026-05-06 17:38:18.686102,buraco,medio,"(34, 0)"
2026-05-06 17:38:18.750478,buraco,medio,"(33, 0)"
2026-05-06 17:38:18.818405,buraco,medio,"(33, 0)"
2026-05-06 17:38:18.886063,buraco,medio,"(36, 0)"
2026-05-06 17:38:18.954275,buraco,medio,"(33, 0)"
2026-05-06 17:38:19.018539,buraco,medio,"(36, 0)"
2026-05-06 17:38:19.086496,buraco,medio,"(33, 0)"
2026-05-06 17:38:19.154154,buraco,medio,"(33, 0)"
2026-05-06 17:38:19.218207,buraco,medio,"(37, 0)"
2026-05-06 17:38:19.285752,buraco,medio,"(34, 0)"
2026-05-06 17:38:19.354104,buraco,medio,"(33, 0)"
2026-05-06 17:38:19.417836,buraco,medio,"(33, 0)"
2026-05-06 17:38:19.486424,buraco,medio,"(33, 0)"
2026-05-06 17:38:19.553860,buraco,medio,"(36, 0)"
2026-05-06 17:38:19.622327,buraco,medio,"(33, 0)"
